group_id,user_id,join_date
42,72,2020-04-17
57,1,2020-01-14
70,94,2020-04-26
159,1,2020-06-29
189,8,2020-02-16
279,1,2020-06-03
289,22,2020-03-11
409,24,2020-03-13
391,3,2020-06-12
87,4,2020-06-07
95,28,2020-03-19
247,301,2020-06-15
261,4,2020-06-23
343,4,2020-07-02
448,4,2020-05-24
470,12,2020-02-22
480,7,2020-02-14
51,53,2020-04-05
61,16,2020-03-02
94,54,2020-04-06
154,5,2020-05-31
410,5,2020-05-26
480,5,2020-07-24
4,221,2020-05-30
15,172,2020-05-20
43,6,2020-07-24
75,44,2020-03-31
140,6,2020-06-22
151,21,2020-03-09
173,74,2020-04-18
188,47,2020-04-02
200,402,2020-07-03
220,55,2020-04-07
308,6,2020-05-08
316,32,2020-03-23
317,196,2020-05-25
334,6,2020-07-31
364,6,2020-08-04
376,18,2020-03-08
438,6,2020-06-13
481,6,2020-07-22
112,7,2020-05-29
49,57,2020-04-09
72,53,2020-04-05
107,11,2020-02-21
177,8,2020-07-15
201,8,2020-06-15
314,59,2020-04-10
431,256,2020-06-07
455,27,2020-03-18
465,14,2020-02-26
480,8,2020-07-09
481,8,2020-05-31
459,72,2020-04-17
279,22,2020-03-11
495,132,2020-05-09
498,10,2020-06-22
209,28,2020-03-19
37,13,2020-06-11
64,66,2020-04-14
65,16,2020-03-02
75,13,2020-06-05
171,13,2020-05-06
190,558,2020-07-29
215,13,2020-08-06
244,21,2020-03-09
286,27,2020-03-18
320,13,2020-08-18
329,13,2020-06-21
379,13,2020-08-09
411,13,2020-08-21
449,13,2020-05-08
493,36,2020-03-26
126,14,2020-07-15
164,402,2020-07-03
272,14,2020-06-21
293,14,2020-07-15
328,14,2020-04-06
349,14,2020-06-28
449,14,2020-07-23
481,14,2020-08-22
107,15,2020-04-30
464,172,2020-05-20
73,272,2020-06-12
86,469,2020-07-15
91,16,2020-07-03
145,16,2020-07-15
182,68,2020-04-15
241,371,2020-06-28
273,16,2020-08-06
421,402,2020-07-03
440,42,2020-03-30
129,17,2020-08-26
145,17,2020-07-10
211,17,2020-04-25
228,53,2020-04-05
419,42,2020-03-30
425,230,2020-06-01
481,172,2020-05-20
9,18,2020-06-09
115,18,2020-07-15
152,18,2020-06-19
328,34,2020-03-24
458,18,2020-08-06
96,19,2020-08-30
340,234,2020-06-03
416,463,2020-07-13
424,19,2020-08-19
480,19,2020-08-28
498,42,2020-03-30
62,141,2020-05-14
70,20,2020-05-29
79,39,2020-03-29
122,20,2020-08-28
188,20,2020-04-25
200,20,2020-07-07
248,267,2020-06-10
299,20,2020-07-29
308,64,2020-04-13
310,20,2020-07-24
356,20,2020-05-21
376,20,2020-06-01
439,20,2020-05-31
449,94,2020-04-26
470,20,2020-05-10
96,22,2020-05-31
344,132,2020-05-09
12,95,2020-04-27
14,23,2020-08-05
43,23,2020-08-30
56,23,2020-07-16
120,30,2020-03-21
189,23,2020-05-20
193,23,2020-05-30
199,23,2020-08-15
261,23,2020-07-29
273,66,2020-04-14
305,60,2020-04-11
379,23,2020-08-12
382,23,2020-08-08
400,23,2020-09-06
416,23,2020-08-16
437,301,2020-06-15
440,23,2020-06-01
152,47,2020-04-02
228,24,2020-04-10
131,146,2020-05-15
177,25,2020-05-29
247,25,2020-09-04
342,25,2020-06-04
387,25,2020-08-27
401,25,2020-08-15
407,66,2020-04-14
481,25,2020-07-26
276,261,2020-06-08
460,31,2020-03-22
103,27,2020-06-16
274,77,2020-04-20
333,95,2020-04-27
383,550,2020-07-28
455,27,2020-07-20
462,707,2020-08-23
469,27,2020-09-11
470,27,2020-07-13
500,27,2020-08-16
7,28,2020-05-03
31,28,2020-06-01
44,28,2020-07-08
82,371,2020-06-28
107,28,2020-04-23
115,137,2020-05-10
120,28,2020-08-20
122,28,2020-08-21
144,31,2020-03-22
242,28,2020-09-01
254,28,2020-08-29
260,28,2020-07-20
261,109,2020-05-03
279,28,2020-05-20
328,28,2020-08-29
360,54,2020-04-06
377,28,2020-08-03
411,138,2020-05-12
433,28,2020-07-31
442,28,2020-09-05
468,28,2020-06-10
7,29,2020-05-04
65,29,2020-08-17
145,29,2020-07-12
228,29,2020-06-04
243,29,2020-05-31
293,29,2020-07-02
332,141,2020-05-14
333,29,2020-05-06
410,95,2020-04-27
476,29,2020-07-27
496,29,2020-06-07
64,30,2020-08-29
96,172,2020-05-20
102,70,2020-04-16
171,30,2020-05-17
231,89,2020-04-25
240,270,2020-06-11
245,30,2020-07-22
276,30,2020-08-27
293,172,2020-05-20
411,30,2020-05-22
87,247,2020-06-05
117,244,2020-06-04
152,31,2020-05-01
180,32,2020-03-23
199,31,2020-08-29
211,31,2020-07-08
219,253,2020-06-06
256,31,2020-07-29
278,31,2020-08-10
304,42,2020-03-30
356,31,2020-06-06
386,99,2020-04-29
397,31,2020-05-24
417,31,2020-08-31
424,31,2020-06-24
142,32,2020-08-29
166,155,2020-05-17
316,32,2020-05-31
348,204,2020-05-26
159,109,2020-05-03
316,33,2020-03-28
404,38,2020-03-28
442,33,2020-07-29
19,34,2020-09-16
39,138,2020-05-12
64,34,2020-07-28
103,146,2020-05-15
192,34,2020-05-08
308,34,2020-04-19
394,34,2020-07-12
430,139,2020-05-13
458,34,2020-07-05
471,34,2020-09-01
3,35,2020-07-21
13,55,2020-04-07
171,35,2020-08-02
202,129,2020-05-08
256,35,2020-05-05
290,35,2020-09-07
424,72,2020-04-17
434,35,2020-08-27
447,35,2020-08-02
455,35,2020-05-22
476,35,2020-08-26
57,36,2020-06-30
227,36,2020-09-16
316,36,2020-05-17
9,261,2020-06-08
33,39,2020-08-09
64,39,2020-07-22
192,39,2020-05-12
199,39,2020-09-18
211,39,2020-06-10
239,39,2020-06-04
276,39,2020-07-28
281,39,2020-06-06
289,39,2020-05-21
293,39,2020-06-10
314,39,2020-05-28
369,137,2020-05-10
438,39,2020-04-27
476,39,2020-05-13
492,39,2020-09-24
15,41,2020-07-02
57,41,2020-08-04
92,41,2020-08-04
199,41,2020-06-19
315,55,2020-04-07
343,41,2020-06-25
371,124,2020-05-07
476,104,2020-05-02
112,55,2020-04-07
397,95,2020-04-27
455,42,2020-07-01
305,43,2020-08-01
342,43,2020-06-30
356,95,2020-04-27
35,100,2020-04-30
61,45,2020-06-09
126,45,2020-09-24
156,45,2020-05-03
171,60,2020-04-11
228,45,2020-09-05
242,50,2020-04-04
276,45,2020-07-23
287,45,2020-09-21
364,60,2020-04-11
419,45,2020-04-06
442,45,2020-06-23
454,261,2020-06-08
468,89,2020-04-25
39,46,2020-09-11
64,46,2020-06-10
74,46,2020-06-15
80,70,2020-04-16
85,267,2020-06-10
118,149,2020-05-16
134,46,2020-08-11
156,102,2020-05-01
211,72,2020-04-17
270,213,2020-05-28
305,46,2020-09-08
340,46,2020-07-31
356,46,2020-09-17
359,46,2020-06-24
406,230,2020-06-01
442,46,2020-05-29
7,75,2020-04-19
74,47,2020-07-12
140,47,2020-07-23
162,389,2020-07-01
182,47,2020-09-18
214,47,2020-06-05
247,47,2020-09-14
359,47,2020-06-24
489,47,2020-06-19
146,168,2020-05-19
216,48,2020-09-28
411,48,2020-09-10
476,48,2020-09-04
10,86,2020-04-23
83,49,2020-08-21
397,49,2020-05-09
34,50,2020-09-28
155,50,2020-08-03
156,50,2020-09-07
180,50,2020-06-14
188,50,2020-04-17
214,50,2020-07-11
267,339,2020-06-22
273,50,2020-05-28
424,50,2020-06-28
433,50,2020-07-03
438,50,2020-04-27
498,50,2020-05-19
92,51,2020-09-29
244,51,2020-08-22
273,51,2020-07-03
31,109,2020-05-03
126,52,2020-06-06
128,137,2020-05-10
134,230,2020-06-01
136,52,2020-08-08
162,52,2020-09-10
199,52,2020-08-09
209,52,2020-06-25
275,52,2020-06-22
281,52,2020-09-16
289,52,2020-06-28
333,52,2020-05-28
343,52,2020-08-18
394,52,2020-06-01
424,52,2020-09-09
465,52,2020-09-08
475,80,2020-04-22
51,53,2020-08-18
99,53,2020-09-29
121,53,2020-07-01
363,132,2020-05-09
72,54,2020-07-24
136,54,2020-08-14
254,57,2020-04-09
256,55,2020-04-07
272,54,2020-06-22
293,54,2020-09-03
311,54,2020-07-18
398,104,2020-05-02
408,149,2020-05-16
411,54,2020-08-27
436,172,2020-05-20
42,55,2020-06-25
150,468,2020-07-14
186,132,2020-05-09
231,55,2020-07-11
243,72,2020-04-17
275,55,2020-09-02
284,94,2020-04-26
365,55,2020-07-19
436,55,2020-08-12
460,55,2020-05-15
488,55,2020-08-06
87,56,2020-07-25
299,59,2020-04-10
438,66,2020-04-14
299,58,2020-05-04
3,59,2020-07-24
20,120,2020-05-06
38,59,2020-09-25
60,321,2020-06-19
114,59,2020-08-10
128,59,2020-05-22
180,59,2020-05-01
225,59,2020-09-20
227,59,2020-09-18
257,59,2020-06-22
281,172,2020-05-20
